,alpha,tstat
P1,-0.0038393269827963618,-2.5040958346775963
P2,-0.0012666197560770062,-0.9190662953533343
P3,0.0005964643549720979,0.4620546835970434
P4,0.00058638796816341,0.48638053115251273
P5,0.002887325790113946,2.3284875452052862
P6,-0.0030526267602377995,-2.197592551008633
P7,-0.0012011041064566611,-1.0524567837815266
P8,-0.0014600206191061312,-1.3772516953540657
P9,-0.0012459918931976848,-1.1938141224938434
P10,-0.0008787982641423707,-0.7521747887839955
P11,-0.0015095658599483999,-1.167271336637756
P12,-0.002029708014418064,-1.6671216505572226
P13,-0.0023625717421073443,-2.075842542444804
P14,-0.0021842374165720563,-1.9244790644708913
P15,-0.0015808129496203726,-1.2755159096207203
P16,-6.135358789091934e-05,-0.049324079736355615
P17,-0.001653837359124943,-1.4336490446236378
P18,-0.002538046078726803,-2.177878400516583
P19,-0.0023927037443477596,-2.0164906660789934
P20,-0.0023147981274987996,-1.8813266683897725
P21,0.00019511404036687263,0.22446852188420158
P22,-0.0011972371093050794,-1.15612497284687
P23,-0.0023770603622388243,-2.380612857337408
P24,-0.0025161915585038383,-2.5079330139246547
P25,-0.0029959381239331156,-2.450352253784796
